测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
472,1272.27,1195.72,1185.89,17.6023
473,1272.48,1195.53,1185.85,17.6023
474,1272.4,1194.94,1185.72,17.6028
475,1272.54,1195.19,1185.72,17.6026
476,1272.45,1195.06,1185.9,17.6026
477,1272.41,1195.45,1185.84,17.6024
478,1272.6,1195.63,1185.82,17.6022
479,1272.79,1195.27,1185.82,17.6023
480,1272.67,1194.74,1185.96,17.6026
481,1272.75,1195.49,1185.93,17.6021
482,1272.49,1195.18,1186.03,17.6024
483,1272.61,1194.79,1186.12,17.6025
484,1272.85,1195.28,1186.02,17.6021
485,1272.95,1195.51,1185.76,17.602
486,1272.26,1194.91,1185.68,17.6029
487,1272.77,1194.69,1185.8,17.6027
488,1272.84,1194.92,1185.58,17.6026
489,1272.74,1195.09,1185.68,17.6025
490,1272.92,1194.94,1185.69,17.6025
491,1273.43,1195.22,1185.9,17.6018
492,1272.18,1194.92,1185.84,17.6029
493,1272.6,1194.39,1185.81,17.603
494,1272.43,1195.55,1185.74,17.6024
495,1272.83,1194.99,1185.87,17.6024
496,1272.62,1194.87,1186.12,17.6024
497,1272.39,1195.1,1186.06,17.6025
498,1273.16,1195.33,1185.68,17.6021
499,1272.64,1195.11,1185.85,17.6024
500,1272.31,1195.01,1186,17.6026
501,1272.31,1195.21,1185.6,17.6028
502,1272.21,1195.09,1185.7,17.6028
503,1272.25,1195.3,1185.89,17.6025
504,1272.46,1194.91,1185.91,17.6027
505,1272.24,1194.89,1185.82,17.6029
506,1272.71,1194.99,1185.65,17.6026
507,1272.33,1194.55,1185.76,17.6031
508,1272.66,1195.55,1185.78,17.6022
509,1272.03,1195.35,1185.99,17.6026
510,1272.71,1194.71,1185.93,17.6026
511,1272.26,1194.8,1185.8,17.6029
512,1272.13,1195.01,1185.64,17.603
513,1272.59,1194.87,1185.79,17.6027
514,1272.98,1195.2,1185.72,17.6023
515,1272.15,1195.35,1185.44,17.6029
516,1272.9,1195,1185.65,17.6025
517,1272.57,1194.98,1185.74,17.6027
518,1272.88,1195.23,1185.56,17.6024
519,1272.68,1195.15,1185.7,17.6025
520,1272.37,1194.78,1185.63,17.603
521,1272.11,1194.72,1185.76,17.6031
522,1272.57,1194.89,1185.81,17.6027
523,1271.84,1195.04,1185.81,17.6031
524,1272.97,1194.33,1185.59,17.6029
525,1272.48,1195.38,1185.65,17.6025
526,1273.06,1194.98,1185.61,17.6024
527,1271.99,1194.79,1185.51,17.6033
528,1272.55,1194.99,1185.63,17.6027
529,1272.76,1194.96,1185.61,17.6026
530,1273,1194.91,1185.6,17.6025
531,1272.11,1194.64,1185.75,17.6032
532,1272.55,1195.51,1185.62,17.6024
533,1272.59,1195.02,1185.62,17.6027
534,1272.27,1195.44,1185.58,17.6027
535,1272.51,1195.18,1185.74,17.6026
536,1272.27,1195.16,1185.69,17.6028
537,1272.64,1195.3,1185.72,17.6024
538,1272.57,1194.93,1185.36,17.6029
539,1272.49,1194.95,1185.53,17.6029
540,1272.91,1194.84,1185.61,17.6026
541,1272.6,1195.41,1185.6,17.6024
542,1272.56,1194.97,1185.68,17.6027
543,1272.57,1195.3,1185.33,17.6027
544,1272.42,1194.91,1185.57,17.6029
545,1272.38,1194.78,1185.68,17.603
546,1272.54,1195.27,1185.83,17.6024
547,1272.44,1195.17,1185.77,17.6026
548,1272.17,1194.56,1185.77,17.6032
549,1272.04,1194.87,1185.64,17.6031
550,1272.39,1195.04,1185.6,17.6028
551,1272.34,1194.63,1185.64,17.6031
552,1272.52,1195.1,1185.74,17.6026
553,1272.5,1194.72,1185.51,17.603
554,1272.83,1195.14,1185.55,17.6025
555,1272.26,1195.05,1185.79,17.6028
556,1272.38,1195.44,1185.69,17.6025
557,1272.13,1195.19,1185.72,17.6028
558,1272.08,1195.28,1185.81,17.6027
559,1272.38,1195.34,1185.79,17.6025
560,1272.09,1195.03,1185.63,17.603
561,1272.79,1195.07,1185.82,17.6024
562,1272.22,1195.22,1185.81,17.6027
563,1273.29,1195.09,1185.54,17.6022
564,1272.66,1195.12,1185.78,17.6025
565,1272.21,1194.61,1185.61,17.6032
566,1272.22,1194.69,1185.66,17.6031
567,1272.11,1195.67,1185.44,17.6027

统计信息
最大直径(mm),17.6042
最小直径(mm),17.6011
是否全部合格,是
标准直径(mm),17.6
公差范围(mm),-0.05/+0.07
