测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
601,1386.39,2004.79,1436.53,17.6008
602,1386.07,2004.88,1436.47,17.601
603,1386.41,2004.79,1436.52,17.6008
604,1386,2004.76,1436.9,17.6008
605,1385.73,2004.65,1436.62,17.6013
606,1386.77,2004.65,1436.17,17.6009
607,1386.52,2004.85,1436.43,17.6007
608,1385.73,2004.79,1436.97,17.6009
609,1386.4,2004.7,1436.78,17.6007
610,1386.27,2004.67,1436.38,17.601
611,1385.88,2004.83,1436.88,17.6009
612,1386.79,2004.83,1436.97,17.6002
613,1387.13,2004.69,1436.57,17.6003
614,1386.4,2004.82,1436.81,17.6006
615,1386.08,2004.84,1436.9,17.6007
616,1386.42,2004.61,1436.63,17.6008
617,1386.66,2004.83,1436.39,17.6007
618,1386.58,2005,1436.08,17.6008
619,1386.72,2004.81,1435.86,17.601
620,1386.5,2004.77,1436.19,17.601
621,1386.45,2004.83,1436.55,17.6007
622,1386.85,2004.69,1436.68,17.6004
623,1386.6,2004.59,1437,17.6004
624,1386.02,2004.89,1437.1,17.6006
625,1386.13,2004.95,1437.03,17.6005
626,1386.25,2004.63,1436.78,17.6008
627,1386.01,2004.79,1436.61,17.601
628,1386.22,2004.8,1436.41,17.601
629,1386.49,2004.46,1436.42,17.601
630,1387,2004.66,1436.94,17.6002
631,1387.17,2004.77,1437.13,17.5999
632,1386.74,2004.84,1436.79,17.6003
633,1386.61,2004.97,1436.89,17.6003
634,1386.51,2004.88,1436.74,17.6005
635,1386.41,2004.82,1436.38,17.6009
636,1386.66,2004.85,1436.96,17.6003
